Time,Latitude,Longitude,Magnitude,Depth (km),Place,Year
1970-01-01 00:28:23.980548472,44.6077,148.9343,4.4,35.0,"108 km SE of Kuril’sk, Russia",1970
1970-01-01 00:28:23.980135715,54.5611,-159.7551,2.3,14.5,"98 km SSE of Sand Point, Alaska",1970
1970-01-01 00:28:23.979879870,19.3351666666667,-155.320166666667,2.19,0.66,"14 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.979250971,-3.6423,-102.9478,4.6,10.0,central East Pacific Rise,1970
1970-01-01 00:28:23.977360296,43.8415,-105.1351,2.4,0.0,"30 km ENE of Wright, Wyoming",1970
1970-01-01 00:28:23.977288940,19.9585,-155.362666666667,2.13,8.07,"9 km S of Pa‘auilo, Hawaii",1970
1970-01-01 00:28:23.976873880,39.4221667,-123.2858333,2.38,5.89,"6 km ENE of Willits, CA",1970
1970-01-01 00:28:23.975959128,40.0474,142.1067,4.3,48.231,"25 km ESE of Noda, Japan",1970
1970-01-01 00:28:23.975866030,-23.2547,-179.4246,4.3,561.074,south of the Fiji Islands,1970
1970-01-01 00:28:23.975765065,59.8152,-153.4729,3.4,132.6,"35 km E of Pedro Bay, Alaska",1970
1970-01-01 00:28:23.974771590,16.5191,145.4075,4.2,311.398,"149 km NNW of Saipan, Northern Mariana Islands",1970
1970-01-01 00:28:23.974586188,-6.082,147.1624,4.8,80.593,"73 km NNE of Lae, Papua New Guinea",1970
1970-01-01 00:28:23.974276190,19.143,-155.478333333333,2.63,31.79,"6 km S of Pāhala, Hawaii",1970
1970-01-01 00:28:23.974148130,49.3555,-120.51983333333334,2.18,-0.51,"11 km S of Princeton, Canada",1970
1970-01-01 00:28:23.973229793,31.619,-103.988,2.1,7.7769,"38 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.973127690,31.616,-103.984,2.9,7.6355,"37 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.973107381,18.4227,146.5983,4.1,55.513,"Pagan region, Northern Mariana Islands",1970
1970-01-01 00:28:23.973016735,31.619,-103.988,3.2,7.5198,"38 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.971247071,-54.4222,-23.3174,4.3,10.0,South Sandwich Islands region,1970
1970-01-01 00:28:23.970973950,17.8895,-66.8871666666667,2.23,12.84,"9 km SSE of Guánica, Puerto Rico",1970
1970-01-01 00:28:23.970399103,51.3415,179.1,3.8,56.726,"Rat Islands, Aleutian Islands, Alaska",1970
1970-01-01 00:28:23.970072809,44.2658,-105.5014,3.0,0.0,"2 km S of Gillette, Wyoming",1970
1970-01-01 00:28:23.969004532,44.3112,17.9273,4.7,10.239,"9 km S of Željezno Polje, Bosnia and Herzegovina",1970
1970-01-01 00:28:23.968728339,43.6927,-105.1918,3.4,0.0,"25 km ESE of Wright, Wyoming",1970
1970-01-01 00:28:23.968416040,19.386,-155.243333333333,2.67,1.07,"6 km S of Volcano, Hawaii",1970
1970-01-01 00:28:23.968128125,31.594,-103.953,3.5,7.674,"34 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.966089808,-10.0932,159.9343,4.6,10.0,"50 km SSE of Malango, Solomon Islands",1970
1970-01-01 00:28:23.965969381,31.612,-103.967,2.4,7.4684,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.965358345,31.612,-103.985,2.4,8.4453,"37 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.965328984,31.605,-103.98,2.5,8.1882,"36 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.965300417,-21.511,-179.2607,4.5,597.838,Fiji region,1970
1970-01-01 00:28:23.965151754,31.608,-103.981,2.4,8.5224,"37 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.964957070,59.9649,-151.809,2.0,58.2,"4 km WNW of Happy Valley, Alaska",1970
1970-01-01 00:28:23.964888337,31.61,-103.986,2.6,7.2627,"37 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.964795501,-3.1389,139.5647,4.3,48.033,"133 km WSW of Abepura, Indonesia",1970
1970-01-01 00:28:23.964753585,31.616,-103.975,3.9,7.7383,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.964720870,19.3805,-155.280666666667,2.05,1.77,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.964581325,8.577,127.1346,4.3,10.0,"89 km ENE of Barcelona, Philippines",1970
1970-01-01 00:28:23.964571730,19.181999206543,-155.494506835938,2.26,31.4200000762939,"2 km SW of Pāhala, Hawaii",1970
1970-01-01 00:28:23.964530970,19.3858337402344,-155.277160644531,2.26,-0.419999986886978,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.964526110,19.3831666666667,-155.280166666667,2.18,1.28,"8 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.962925020,31.609,-103.964,2.1,7.674,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.962866090,17.9481666666667,-66.7741666666667,2.7,17.76,"6 km SE of Indios, Puerto Rico",1970
1970-01-01 00:28:23.962543505,31.614,-103.973,2.3,9.8335,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.962494013,31.614,-103.969,3.1,7.1085,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.962434116,31.611,-103.969,2.0,7.2627,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.962382173,-56.0064,-24.1292,4.6,10.0,South Sandwich Islands region,1970
1970-01-01 00:28:23.962326631,-4.9639,153.4635,4.7,55.741,"149 km ESE of Kokopo, Papua New Guinea",1970
1970-01-01 00:28:23.962149275,-56.0216,-23.9024,4.6,10.0,South Sandwich Islands region,1970
1970-01-01 00:28:23.961729342,31.614,-103.969,3.3,7.1599,"36 km WSW of Mentone, Texas",1970
1970-01-01 00:28:23.961519731,12.3296,-89.1796,4.5,15.311,"125 km SSW of Puerto El Triunfo, El Salvador",1970
1970-01-01 00:28:23.961457739,31.607,-103.969,2.3,8.2396,"36 km NNW of Toyah, Texas",1970
1970-01-01 00:28:23.961091050,19.3878326416016,-155.279495239258,2.03,1.66999995708466,"7 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.958611939,54.5627,-159.7171,3.3,35.0,"99 km SSE of Sand Point, Alaska",1970
1970-01-01 00:28:23.958416360,19.33766746521,-155.29899597168,2.13000011,2.8199999332428,"13 km SSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.958072837,65.4036,-162.7595,2.5,11.7,"74 km S of Deering, Alaska",1970
1970-01-01 00:28:23.957825790,19.3676662445068,-155.296661376953,2.16,0.5,"10 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.957576550,19.3655,-155.2945,2.88,2.68,"10 km SW of Volcano, Hawaii",1970
1970-01-01 00:28:23.956583833,-2.9934,139.372,6.3,33.0,"146 km WSW of Abepura, Indonesia",1970
1970-01-01 00:28:23.955457800,19.3831672668457,-155.233673095703,2.09,1.44000005722046,"6 km S of Volcano, Hawaii",1970
1970-01-01 00:28:23.954846340,33.0643333,-116.1985,2.31,4.61,"11 km SW of Ocotillo Wells, CA",1970
1970-01-01 00:28:23.953718520,35.94366667,-97.88133333,2.1,5.04,"4 km SSE of Dover, Oklahoma",1970
1970-01-01 00:28:23.952345628,-14.753,-173.9714,5.2,10.0,"134 km N of Hihifo, Tonga",1970
1970-01-01 00:28:23.950972463,51.4395,-178.7364,2.2,18.4,"153 km WSW of Adak, Alaska",1970
1970-01-01 00:28:23.950879070,19.3565006256104,-155.282165527344,2.07,2.25,"10 km SSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.950629700,33.6928333,-115.955,2.29,2.77,"18 km NE of Mecca, CA",1970
1970-01-01 00:28:23.949400757,52.8913,160.9044,4.2,32.669,"154 km E of Petropavlovsk-Kamchatsky, Russia",1970
1970-01-01 00:28:23.949057510,61.3072,-146.708,2.5,14.8,"27 km NW of Valdez, Alaska",1970
1970-01-01 00:28:23.948581478,-6.4131,154.9575,5.3,73.469,"59 km W of Panguna, Papua New Guinea",1970
1970-01-01 00:28:23.948520704,12.5308,-89.032,4.6,50.462,"98 km SSW of Puerto El Triunfo, El Salvador",1970
1970-01-01 00:28:23.948411442,-11.5203,166.415,5.0,155.602,"110 km SE of Lata, Solomon Islands",1970
1970-01-01 00:28:23.948126053,61.0812,-151.9061,2.0,86.9,"41 km W of Tyonek, Alaska",1970
1970-01-01 00:28:23.943721140,19.3754997253418,-155.274826049805,2.22,2.00999999046326,"8 km SSW of Volcano, Hawaii",1970
1970-01-01 00:28:23.943286283,-15.3643,167.5355,4.4,120.987,"43 km ENE of Luganville, Vanuatu",1970
1970-01-01 00:28:23.942785766,38.3805,39.0214,4.2,10.0,"8 km N of Doğanyol, Turkey",1970
1970-01-01 00:28:23.941349140,19.1881675720215,-155.497497558594,2.41,31.8999996185303,"2 km SW of Pāhala, Hawaii",1970
1970-01-01 00:28:23.941171914,-11.2021,121.4796,4.2,10.949,"179 km WSW of Baa, Indonesia",1970
1970-01-01 00:28:23.940600450,44.0015,-115.155166666667,2.36,9.03,"29 km SW of Stanley, Idaho",1970
